0.01,0.00002103
0.02,0.001
0.03,0.007
0.04,0.016
0.05,0.029
0.06,0.044
0.07,0.06
0.08,0.079
0.09,0.1
0.1,0.123
0.11,0.144
0.12,0.166
0.13,0.19
0.14,0.216
0.15,0.247
0.16,0.285
0.17,0.326
0.18,0.37
0.19,0.416
0.2,0.466
0.21,0.514
0.22,0.565
0.23,0.619
0.24,0.675
0.25,0.735
0.26,0.796
0.27,0.86
0.28,0.927
0.29,0.997
0.3,1.071
0.315,1.191
0.338,1.385
0.371,1.709
0.421,2.255
0.471,2.892
0.521,3.633
0.571,4.473
0.621,5.417
0.671,6.476
0.721,7.647
0.77,8.906
0.82,10.306
0.87,11.834
0.92,13.497
0.97,15.282
1.02,17.209
1.07,19.277
1.12,21.489
1.17,23.847
1.22,26.348
1.27,28.996
1.32,31.796
1.37,34.748
1.42,35.605
1.438,35.47
1.465,35.205
1.504,34.809
1.554,34.335
1.587,34.019
1.636,33.558
1.686,33.097
1.736,32.647
1.786,32.198
1.836,31.754
1.886,31.32
1.936,30.896
1.986,30.478
2.036,30.066
2.086,29.648
2.111,29.441
2.138,29.222
2.178,28.903
2.212,28.638
2.236,28.451
2.261,28.252
2.299,27.96
2.349,27.586
2.374,27.402
2.397,27.22
2.429,26.977
2.477,26.628
2.505,26.429
2.528,26.261
2.554,26.075
2.592,25.801
2.642,25.455
2.663,25.308
2.692,25.111
2.735,24.823
2.771,24.582
2.806,24.341
2.856,24.017
2.906,23.694
2.943,23.461
2.974,23.258
3.02,22.963
3.07,22.663
3.093,22.528
3.117,22.373
3.154,22.147
3.204,21.854
3.229,21.708
3.256,21.546
3.297,21.31
3.347,21.027
3.379,20.846
3.413,20.651
3.463,20.375
3.513,20.103
3.54,19.958
3.57,19.795
3.614,19.562
3.654,19.348
3.704,19.09
3.754,18.837
3.804,18.587
3.854,18.339
3.896,18.129
3.946,17.885
3.996,17.65
4.037,17.454
4.087,17.216
4.137,16.987
4.187,16.759
4.237,16.531
4.287,16.305
4.337,16.095
4.378,15.922
4.413,15.768
4.463,15.554
4.513,15.348
4.539,15.239
4.566,15.123
4.597,14.987
4.644,14.793
4.694,14.598
4.721,14.498
4.743,14.418
4.763,14.337
4.785,14.24
4.819,14.102
4.869,13.92
4.892,13.841
4.911,13.765
4.932,13.684
4.956,13.586
4.992,13.444
5.042,13.258
5.092,13.096
5.113,13.02
5.134,12.935
5.161,12.83
5.202,12.683
5.252,12.517
5.272,12.448
5.293,12.374
5.316,12.289
5.344,12.184
5.387,12.045
5.434,11.899
5.459,11.819
5.483,11.737
5.51,11.643
5.546,11.518
5.596,11.359
5.629,11.261
5.657,11.174
5.685,11.083
5.714,10.986
5.757,10.852
5.807,10.717
5.834,10.626
5.867,10.517
5.915,10.362
5.965,10.214
6.015,10.067
6.065,9.922
6.115,9.777
6.165,9.639
6.215,9.496
6.265,9.352
6.315,9.212
6.365,9.077
6.415,8.945
6.465,8.818
6.515,8.689
6.565,8.557
6.615,8.425
6.665,8.298
6.715,8.172
6.765,8.046
6.815,7.932
6.865,7.817
6.912,7.697
6.962,7.575
7.012,7.458
7.062,7.345
7.112,7.232
7.162,7.122
7.212,7.012
7.262,6.898
7.312,6.789
7.362,6.676
7.412,6.567
7.462,6.459
7.512,6.356
7.562,6.254
7.612,6.152
7.662,6.051
7.712,5.949
7.762,5.851
7.812,5.754
7.862,5.663
7.912,5.57
7.962,5.475
8.012,5.385
8.062,5.292
8.112,5.202
8.162,5.107
8.212,5.016
8.262,4.928
8.312,4.85
8.362,4.769
8.412,4.675
8.462,4.587
8.512,4.503
8.562,4.424
8.612,4.348
8.662,4.269
8.712,4.193
8.762,4.123
8.812,4.05
8.862,3.971
8.912,3.894
8.962,3.822
9.012,3.748
9.062,3.672
9.112,3.596
9.162,3.521
9.212,3.449
9.262,3.381
9.312,3.323
9.362,3.269
9.405,3.22
9.444,3.152
9.494,3.079
9.544,3.012
9.594,2.949
9.644,2.891
9.694,2.833
9.744,2.776
9.794,2.717
9.844,2.657
9.894,2.596
9.944,2.534
9.994,2.476
10.044,2.417
10.094,2.369
10.144,2.323
10.194,2.272
10.244,2.203
10.294,2.148
10.344,2.095
10.394,2.042
10.444,1.997
10.494,1.948
10.544,1.902
10.594,1.85
10.644,1.804
10.694,1.758
10.744,1.713
10.794,1.668
10.844,1.623
10.894,1.581
10.944,1.536
10.994,1.492
11.044,1.452
11.094,1.412
11.144,1.365
11.194,1.324
11.244,1.287
11.294,1.247
11.344,1.216
11.394,1.18
11.444,1.143
11.494,1.105
11.544,1.069
11.594,1.044
11.644,1.011
11.694,0.971
11.744,0.944
11.794,0.906
11.844,0.873
11.894,0.844
11.944,0.813
11.994,0.784
12.044,0.757
12.094,0.73
12.144,0.701
12.194,0.674
12.244,0.649
12.294,0.623
12.344,0.598
12.394,0.574
12.444,0.55
12.494,0.53
12.544,0.507
12.594,0.486
12.644,0.466
12.694,0.446
12.744,0.428
12.794,0.409
12.844,0.395
12.894,0.384
12.944,0.363
12.994,0.347
13.044,0.327
13.094,0.303
13.144,0.281
13.194,0.262
13.244,0.248
13.294,0.234
13.344,0.225
13.394,0.215
13.444,0.206
13.494,0.191
13.544,0.174
13.594,0.163
13.644,0.158
13.694,0.151
13.744,0.145
13.794,0.129
13.844,0.128
13.894,0.118
13.944,0.108
13.994,0.108
14.044,0.104
14.094,0.105
14.144,0.097
14.194,0.087
14.244,0.089
14.294,0.083
14.344,0.077
14.394,0.068
14.444,0.063
14.494,0.058
14.544,0.057
14.594,0.053
14.644,0.05
14.694,0.043
14.744,0.042
14.794,0.04
14.844,0.034
14.894,0.034
14.944,0.03
14.994,0.028
15.044,0.023
15.094,0.021
15.144,0.019
15.194,0.016
15.244,0.009
15.294,0.007
15.344,0.009
15.394,0.008
15.444,0.008
15.494,0.011
15.544,0.01
15.594,0.009
15.644,0.009
15.694,0.011
15.744,0.011
15.794,0.012
15.844,0.012
15.894,0.014
15.944,0.011
15.994,0.011
16.039,0.007
16.081,0.005
16.12,0.004
16.156,0.002
16.191,0.001
16.224,0.0009652
16.255,0.0006476
16.285,0.0002985
16.314,0.0001253
16.341,0.00004826
16.368,0.000001385
16.394,-0.000008963
16.42,-0.0001216
16.446,-0.0004802
16.471,-0.001
16.497,-0.003
16.524,-0.006
16.551,-0.012
16.58,-0.02
16.611,-0.032
16.645,-0.052
16.678,-0.075
16.71,-0.102
16.741,-0.127
16.771,-0.16
16.801,-0.199
16.831,-0.244
16.861,-0.294
16.891,-0.35
16.921,-0.397
16.953,-0.441
16.985,-0.484
17.015,-0.521
17.04,-0.55
17.063,-0.571
17.084,-0.585
17.103,-0.595
17.122,-0.598
17.139,-0.598
17.156,-0.594
17.172,-0.588
17.188,-0.58
17.203,-0.574
17.217,-0.572
17.231,-0.571
17.245,-0.571
17.259,-0.575
17.272,-0.581
17.286,-0.589
17.299,-0.596
